,title,platform,score,genre,release_year
5187,Star Wars Rogue Squadron III: Rebel Strike,GameCube,"(8, 9]",Shooter,2003
5189,SSX 3,"Xbox (360,One)","(9, 10]",Sports,2003
5190,Batman: Rise of Sin Tzu,PlayStation (1-4),"(6, 7]",Action,2003
5191,SSX 3,PlayStation (1-4),"(9, 10]",Sports,2003
5192,Mega Man Zero 2,Game Boy (C/A),"(7, 8]",Action,2003
5193,SSX 3,GameCube,"(9, 10]",Sports,2003
5195,Dragon Flight,Mobile,"(7, 8]",Shooter,2003
5196,Top Gear Rally,Game Boy (C/A),"(7, 8]",Racing,2003
5197,Grabbed by the Ghoulies,"Xbox (360,One)","(6, 7]",Action,2003
5198,Empires: Dawn of the Modern World,PC,"(8, 9]",Strategy,2003
5199,Teenage Mutant Ninja Turtles [2003],Game Boy (C/A),"(6, 7]",Fighting,2003
5200,Grand Theft Auto Double Pack: Grand Theft Auto III & Grand Theft Auto: Vice City,PlayStation (1-4),"(9, 10]",Action,2003
5201,Batman: Rise of Sin Tzu,"Xbox (360,One)","(6, 7]",Action,2003
5202,Sea World Adventure Park Tycoon,PC,"(7, 8]",Simulation,2003
5203,Max Payne 2: The Fall of Max Payne,PC,"(9, 10]",Shooter,2003
5204,Auto Modellista,GameCube,"(5, 6]",Racing,2003
5205,Starsky & Hutch,PC,"(5, 6]",Racing,2003
5207,"Crouching Tiger, Hidden Dragon",PlayStation (1-4),"(4, 5]",Fighting,2003
5208,Patrician III,PC,"(9, 10]",Simulation,2003
5209,Commandos 3: Destination Berlin,PC,"(8, 9]",Strategy,2003
5210,"Crouching Tiger, Hidden Dragon",Game Boy (C/A),"(5, 6]",Action,2003
5211,Tak and the Power of Juju,PlayStation (1-4),"(7, 8]",Action,2003
5212,Massive Assault,PC,"(8, 9]",Strategy,2003
5213,Big Mutha Truckers,PC,"(5, 6]",Racing,2003
5214,Teenage Mutant Ninja Turtles [2003],GameCube,"(5, 6]",Fighting,2003
5215,Time Crisis 3,PlayStation (1-4),"(8, 9]",Shooter,2003
5216,ESPN NBA Basketball,PlayStation (1-4),"(9, 10]",Sports,2003
5217,Teenage Mutant Ninja Turtles [2003],"Xbox (360,One)","(5, 6]",Fighting,2003
5218,BloodRayne,PC,"(7, 8]",Action,2003
5219,Scooby-Doo! Night of 100 Frights,"Xbox (360,One)","(6, 7]",Platformer,2003
5220,NBA Live 2004,"Xbox (360,One)","(8, 9]",Sports,2003
5221,Virtual-On Marz,PlayStation (1-4),"(4, 5]",Action,2003
5222,Robin Hood: Defender of the Crown,PC,"(7, 8]",Strategy,2003
